,words,tag
0,추석,NNG
1,에,JKB
2,경주,NNP
3,여행,NNG
4,추석,NNG
5,에,JKB
6,경주,NNP
7,여행,NNG
8,가,VV
9,는,ETM
10,거,NNB
11,어떻,VA
12,게,EC
13,생각,NNG
14,하,XSV
15,시,EP
16,나요,EF
17,서울,NNP
18,에서,JKB
19,버스,NNG
20,를,JKO
21,타,VV
22,고,EC
23,갈,VX+ETM
24,경우,NNG
25,버스,NNG
26,가,JKS
27,버스,NNG
28,전용,NNG
29,차선,NNG
30,에서,JKB
31,운행,NNG
32,하,XSV
33,나요,EC
34,질문,NNG
35,하,XSV
36,신,EP+ETM
37,추석,NNG
38,경주,NNP
39,여행,NNG
40,관련,NNG
41,답변,NNG
42,드리,VV
43,도록,EC
44,하,VX
45,겠,EP
46,습니다,EF
47,첨성대,NNG
48,석굴암,NNG
49,불국사,NNG
50,등,NNB
51,유적지,NNG
52,는,JX
53,연중무휴,NNG
54,로,JKB
55,1,SN
56,박,NNBC
57,2,SN
58,일,NNBC
59,경주,NNP
60,여행,NNG
61,일정,NNG
62,짜,VV+EC
63,주,VX
64,세요,EP+EF
65,1,SN
66,박,NNBC
67,2,SN
68,일,NNBC
69,경주,NNP
70,여행,NNG
71,일정,NNG
72,짜,VV+EC
73,주,VX
74,세요,EP+EC
75,질,VX+ETM
76,문자,NNG
77,님,XSN
78,경주,NNP
79,에서,JKB
80,의,JKG
81,1,SN
82,박,NNBC
83,2,SN
84,일,NNBC
85,여행,NNG
86,을,JKO
87,계획,NNG
88,중,NNB
89,이,VCP
90,시,EP
91,군요,EF
92,특히,MAG
93,소록,NNG
94,스테이,NNG
95,에서,NNG
96,의,JKG
97,아래,NNG
98,에,JKB
99,경주,NNP
100,여행,NNG
101,일정,NNG
102,을,JKO
103,간략히,MAG
104,정리,NNG
105,해,XSV+EC
106,드릴게요,VX+EC
107,1,SN
108,박,NNBC
109,2,SN
110,일,NNBC
111,경주,NNP
112,여행,NNG
113,일정,NNG
114,Day,SL
115,1,SN
116,감성,NNG
117,가득,MAG
118,한,XSA+ETM
119,경주,NNP
120,탐방,MAG
121,10,SN
122,30,SN
123,어머니,NNG
124,랑,JKB
125,1,SN
126,박,NNBC
127,2,SN
128,일,NNBC
129,경주,NNP
130,여행,NNG
131,이제,MAG
132,5,SN
133,월,NNBC
134,달,NNG
135,어버이날,NNP
136,을,JKO
137,위해,VV+EC
138,어머니,NNG
139,랑,JC
140,경주,NNP
141,여행,NNG
142,을,JKO
143,할려고,VV+EC
144,합니다,VX+EF
145,놀,VV
146,러,EC
147,갈,VX+ETM
148,데,NNB
149,는,JX
150,다,MAG
151,정했,VV+EP
152,는데,EC
153,펜션,NNG
154,을,JKO
155,안녕,NNG
156,하,XSV
157,세요,EP+EF
158,어버이날,NNP
159,을,JKO
160,맞,VV
161,아,EC
162,어머니,NNG
163,와,JKB
164,함께,MAG
165,경주,NNP
166,여행,NNG
167,을,JKO
168,계획,NNG
169,중,NNB
170,이,VCP
171,시,EP
172,군요,EF
173,특별,NNG
174,한,XSA+ETM
175,시간,NNG
176,을,JKO
177,보내,VV
178,시,EP
179,려는,ETM
180,마음,NNG
181,이,JKS
182,느껴져서,VV+EC+VX+EC
183,더욱,MAG
184,경주,NNP
185,여행,NNG
186,5,SN
187,월,NNBC
188,6,SN
189,7,SN
190,8,SN
191,일,NNBC
192,경주,NNP
193,여행,NNG
194,을,JKO
195,가,VV
196,는데요,EC
197,동궁,NNG
198,과,JC
199,월지,NNG
200,와,JC
201,월,NNG
202,정교,NNG
203,야경,NNG
204,을,JKO
205,보,VV
206,고,EC
207,싶,VX
208,은데,EC
209,7,SN
210,일,NNBC
211,에,JKB
212,정상,NNG
213,운영,NNG
214,되,VV
215,나요,EC
216,휴무일,NNG
217,이,JKS
218,따로,MAG
219,없,VA
220,어서,EC
221,관람,NNG
222,에,JKB
223,방해,NNG
224,가,JKS
225,될,VV+ETM
226,정도,NNG
227,로,JKB
228,날씨,NNG
229,가,JKS
230,나쁜,VA+ETM
231,상황,NNG
232,이,JKS
233,생겨서,VV+EC
234,통제,NNG
235,를,JKO
236,하,VV
237,는,ETM
238,경우,NNG
239,가,JKC
240,아니,VCN
241,라면,EC
242,관람,NNG
243,이,JKS
244,가능,NNG
245,하,XSA
246,겠,EP
247,습니다,EF
248,경주,NNP
249,여행,NNG
250,30,SN
251,만,NR
252,원,NNBC
253,경주,NNG
254,여행,NNG
255,2,SN
256,박,NNBC
257,3,SN
258,일,NNBC
259,남자,NNG
260,친구,NNG
261,랑,JKB
262,가,VV
263,는데,EC
264,숙소,NNG
265,랑,JKB
266,ktx,SL
267,비,NNG
268,는,JX
269,다,MAG
270,냈,VV+EP
271,고,EC
272,제,NP+JKG
273,개인,NNG
274,적,XSN
275,으로,JKB
276,30,SN
277,만,NR
278,원,NNBC
279,이,VCP
280,면,EC
281,부족,NNG
282,할까요,XSV+EC
283,30,SN
284,만,NR
285,원,NNBC
286,으로,JKB
287,경주,NNP
288,여행,NNG
289,을,JKO
290,계획,NNG
291,하,XSV
292,고,EC
293,계신다면,VX+EC
294,예산,NNG
295,이,JKS
296,어떻게,MAG
297,집행,NNG
298,되,XSV
299,느냐,EC
300,에,JKB
301,따라,VV+EC
302,충분,XR
303,할,XSA+ETM
304,수,NNB
305,도,JX
306,부족,NNG
307,할,XSV+ETM
308,수,NNB
309,도,JX
310,있,VA
311,습니다,EF
312,경주,NNP
313,여행,NNG
314,맛집,NNG
315,경주,NNP
316,여행,NNG
317,가,VV
318,고,EC
319,싶,VX
320,은데,EC
321,맛집,NNG
322,추천,NNG
323,부탁,NNG
324,드,VV
325,려뇨,EC
326,경주,NNP
327,여행,NNG
328,가이드,NNG
329,교통편,NNG
330,맛집,NNG
331,볼거리,NNG
332,까지,JX
333,모두,MAG
334,알려,VV+EC
335,줄,VX+ETM
336,게,NNB+JKS
337,요,JX
338,경주,NNP
339,는,JX
340,한국,NNP
341,의,JKG
342,역사,NNG
343,와,JC
344,문화,NNG
345,가,JKS
346,살,VV
347,아,EC
348,숨,NNG
349,쉬,VV
350,는,ETM
351,도시,NNG
352,로,JKB
353,여행,NNG
354,하,XSV
355,기,ETN
356,좋,VA
357,은,ETM
358,명소,NNG
359,가,JKS
360,많,VA
361,아요,EC
362,2025,SN
363,년,NNBC
364,봄,NNG
365,경주,NNP
366,로,JKB
367,떠나,VV
368,고,EC
369,경주,NNP
370,여행,NNG
371,을,JKO
372,가,VV
373,는,ETM
374,데,NNB
375,갈,VV+ETM
376,만,NNB
377,한,XSA+ETM
378,곳,NNG
379,추천,NNG
380,좀,MAG
381,경주,NNP
382,여행,NNG
383,을,JKO
384,가,VV
385,는,ETM
386,데,NNB
387,갈,VV+ETM
388,만,NNB
389,한,XSA+ETM
390,곳,NNG
391,추천,NNG
392,좀,MAG
393,해,VV+EC
394,주,VX
395,세요,EP+EF
396,경주,NNP
397,여행,NNG
398,추천,NNG
399,지,NNG
400,입니다,VCP+EF
401,경주,NNP
402,월드,NNG
403,국립,NNG
404,경주,NNP
405,박물관,NNG
406,황리,NNG
407,단,MM
408,길,NNG
409,첨성대,NNG
410,불국사,NNP
411,엑스포,NNG
412,공원,NNG
413,등등,NNB
414,입니다,VCP+EC
415,2,SN
416,월,NNBC
417,1,SN
418,~,SY
419,2,SN
420,일,NNBC
421,경주,NNP
422,여행,NNG
423,날씨,NNG
424,2,SN
425,월,NNBC
426,1,SN
427,2,SN
428,일,NNBC
429,로,JKB
430,경주,NNP
431,여행,NNG
432,가,VV
433,는데,EC
434,현재,MAG
435,날씨,NNG
436,가,JKS
437,어떤,MM
438,가요,NNG
439,눈,NNG
440,쌓였,VV+EP
441,나요,EF
442,시외버스,NNG
443,타,VV
444,고,EC
445,가,VX
446,는데,EC
447,빙판길,NNG
448,일까봐,VCP+EC+VX+EC
449,불안,NNG
450,해요,XSA+EF
451,경주,NNP
452,는,JX
453,눈,NNG
454,그렇게,MAG
455,많이,MAG
456,오,VV
457,지,EC
458,않,VX
459,고,EC
460,날씨,NNG
461,도,JX
462,많이,MAG
463,춥,VA
464,지,EC
465,는,JX
466,않,VX
467,아요,EF
468,주말,NNG
469,에,JKB
470,춥,VA
471,다고,EC
472,는,JX
473,해도,VV+EC
474,그때,NNG
475,예보,NNG
476,를,JKO
477,보,VV
478,는,ETM
479,게,NNB+JKS
480,좋,VA
481,겠,EP
482,죠,EF
483,경주,NNP
484,여행,NNG
485,중,NNB
486,놓치,VV
487,지,EC
488,말,VX
489,아야,EC
490,할,VX+ETM
491,맛집,NNG
492,과,JC
493,카페,NNG
494,알려,VV+EC
495,주,VX
496,세요,EP+EF
497,경주,NNP
498,여행,NNG
499,을,JKO
500,계획,NNG
501,중,NNB
502,이,VCP
503,며,EC
504,맛집,NNG
505,과,JC
506,카페,NNG
507,에서,JKB
508,특별,NNG
509,한,XSA+ETM
510,경험,NNG
511,을,JKO
512,하,VV
513,고,EC
514,싶,VX
515,습니다,EF
516,예,NNG
517,를,JKO
518,들,VV
519,어,EC
520,독특,XR
521,한,XSA+ETM
522,메뉴,NNG
523,나,JC
524,특별,NNG
525,한,XSA+ETM
526,뷰,NNP
527,를,JKO
528,제공,NNG
529,하,XSV
530,는,ETM
531,곳,NNB
532,혹은,MAJ
533,전통,NNG
534,적,XSN
535,인,VCP+ETM
536,분위기,NNG
537,와,JC
538,현대,NNG
539,적,XSN
540,인,VCP+ETM
541,요소,NNG
542,가,JKS
543,조화,NNG
544,를,JKO
545,이루,VV
546,는,ETM
547,장소,NNG
548,에,JKB
549,대해,VV+EC
550,알,VV
551,고,EC
552,싶,VX
553,습니다,EF
554,경주,NNP
555,에,JKB
556,가,VV
557,면,EC
558,황남빵,NNP
559,과,JC
560,2,SN
561,박,NNBC
562,3,SN
563,일,NNBC
564,경주,NNP
565,여행,NNG
566,일정,NNG
567,을,JKO
568,어떻게,MAG
569,짜,VV
570,야,EC
571,할지,VX+EC
572,고민,NNG
573,입니다,VCP+EF
574,.,SF
575,2,SN
576,박,NNBC
577,3,SN
578,일,NNBC
579,경주,NNP
580,여행,NNG
581,아빠,NNG
582,엄마,NNG
583,중,NNB
584,1,SN
585,아들,NNG
586,초,NNB
587,2,SN
588,딸,NNG
589,1,SN
590,일,NNBC
591,차,NNG
592,ktx,SL
593,타,VV
594,고,EC
595,경주,NNP
596,역하,NNG
597,차,NNG
598,11,SN
599,시,NNBC
600,숙소,NNG
601,는,JX
602,황리,NNG
603,단,MM
604,길,NNG
605,황남,NNG
606,고택,NNG
607,2,SN
608,일,NNBC
609,차,NNG
610,제,NP
611,가,JKS
612,드린,VV+ETM
613,답변,NNG
614,이,JKS
615,도움,NNG
616,되,XSV
617,셨,EP+EP
618,길,ETN+JKO
619,바래요,VV+EF
620,말씀,NNG
621,하,XSV
622,신,EP+ETM
623,질문,NNG
624,2,SN
625,박,NNBC
626,3,SN
627,일,NNBC
628,경주,NNP
629,여행,NNG
630,아빠,NNG
631,엄마,NNG
632,중,NNB
633,1,SN
634,아들,NNG
635,초,NNB
636,2,SN
637,딸,NNG
638,1,SN
639,일,NNBC
640,차,NNG
641,ktx,SL
642,타,VV
643,고,EC
644,경주,NNP
645,여행,NNG
646,경주,NNG
647,여행,NNG
648,은,JX
649,아래,NNG
650,를,JKO
651,참조,NNG
652,하,XSV
653,시,EP
654,면,EC
655,더,MAG
656,도움,NNG
657,될,XSV+ETM
658,거,NNB
659,에요,VCP+EF
660,https,SL
661,valina,SL
662,8342,SN
663,tistory,SL
664,com,SL
665,entry,SL
666,EC,SL
667,B,SL
668,2,SN
669,9,SN
670,C,SL
671,EB,SL
672,85,SN
673,84,SN
674,EC,SL
675,9,SN
676,D,SL
677,98,SN
678,EC,SL
679,97,SN
680,AD,SL
681,EC,SL
682,82,SN
683,AC,SL
