,words,tag
0,전주,NNG
1,가,VV
2,볼,EC+VX+ETM
3,만,NNB
4,한,XSA+ETM
5,곳,NNG
6,추천,NNG
7,받,VV
8,아요,EF
9,추억,NNG
10,의,JKG
11,7080,SN
12,다양,NNG
13,한,XSA+ETM
14,체험,NNG
15,7080,SN
16,감성,NNG
17,추억,NNG
18,여행,NNG
19,테마,NNG
20,박물관,NNG
21,유익,NNG
22,한,XSA+ETM
23,시간,NNG
24,2,SN
25,전북,NNP
26,전북,NNP
27,투어,NNG
28,패스,NNG
29,통합,NNG
30,이,JKS
31,용권,NNG
32,전북,NNP
33,핫,NNG
34,플,NNG
35,여러,MM
36,여행지,NNG
37,다양,NNG
38,한,XSA+ETM
39,체험,NNG
40,카페이,NNP
41,용추,NNG
42,가,JKS
43,전주,NNG
44,여행,NNG
45,필수,NNG
46,편안,NNG
47,하,XSA
48,고,EC
49,즐거운,VA+ETM
50,날,NNG
51,이,JKS
52,되,VV
53,시,EP
54,길,ETN+JKO
55,바라,VV
56,겠,EP
57,습니다,EF
58,감사,NNG
59,합니다,XSV+EC
60,전주,NNG
61,여행,NNG
62,갈려고,VV+EC
63,하,VX
64,는데요,EF
65,!,SF
66,전주,NNG
67,여행,NNG
68,을,JKO
69,갈려고,VV+EC
70,하,VV
71,는데요,EC
72,아,VV
73,는,ETM
74,사람,NNG
75,과,JKB
76,갈려고,VV+EC
77,하,VV
78,는데,EC
79,호텔,NNG
80,은,JX
81,좋,VA
82,은,ETM
83,가격,NNG
84,에,JKB
85,정했,VV+EP
86,고,EC
87,음,IC
88,2,SN
89,박,NNBC
90,3,SN
91,일,NNBC
92,여행,NNG
93,인데,VCP+EC
94,얼마,NNG
95,정도,NNG
96,갖,VV
97,고,EC
98,가,VX
99,면,EC
100,좋,VA
101,을까요,EF
102,그리고,MAJ
103,맛집,NNG
104,같,VA
105,은,ETM
106,거,NNB
107,카페,NNG
108,같,VA
109,은,ETM
110,거,NNB
111,추천,NNG
112,해,XSV+EC
113,주,VX
114,세요,EP+EF
115,안녕,IC
116,하,VV
117,세요,EP+EF
118,전주,NNG
119,여행,NNG
120,계획,NNG
121,중,NNB
122,이,VCP
123,시,EP
124,네요,EF
125,한옥,NNG
126,마을,NNG
127,근처,NNG
128,전주,NNP
129,1,SN
130,박,NNBC
131,2,SN
132,일,NNBC
133,여행,NNG
134,관련,NNG
135,질문,NNG
136,~,SY
137,전주,NNG
138,여행,NNG
139,을,JKO
140,계획,NNG
141,하,XSV
142,고,EC
143,계시,VX
144,다니,EC
145,정말,MAG
146,좋,VA
147,은,ETM
148,선택,NNG
149,을,JKO
150,하,VV
151,셨,EP+EP
152,네요,EF
153,전,NP+JX
154,주,VX
155,는,ETM
156,한옥마을,NNP
157,과,JKB
158,함께,MAG
159,멋진,VA+ETM
160,자연,NNG
161,경관,NNG
162,맛있,VA
163,는,ETM
164,음식,NNG
165,이,JKS
166,가득,MAG
167,한,XSA+ETM
168,동네,NNG
169,이,VCP
170,니,EC
171,정말,MAG
172,즐거운,VA+ETM
173,시간,NNG
174,을,JKO
175,보낼,VV+ETM
176,수,NNB
177,있,VV
178,을,ETM
179,거,NNB
180,예요,VCP+EF
181,우선,MAG
182,한옥,NNG
183,마을,NNG
184,근처,NNG
185,에서,JKB
186,가,VV
187,볼,EC+VX+ETM
188,수,NNB
189,있,VV
190,는,ETM
191,장소,NNG
192,로,JKB
193,는,JX
194,중,NNG
195,2,SN
196,여학생,NNG
197,친구,NNG
198,와,JC
199,전주,NNG
200,여행,NNG
201,안녕,NNG
202,하,XSV
203,세요,EP+EF
204,중,NNB
205,2,SN
206,15,SN
207,살,NNBC
208,여학생,NNG
209,입니다,VCP+EF
210,친한,VA+ETM
211,친구,NNG
212,와,JC
213,둘,NR
214,이,XSN
215,서,JKS
216,전주,NNG
217,여행,NNG
218,을,JKO
219,가,VV
220,기,ETN
221,로,JKB
222,했,VV+EP
223,는데,EC
224,어디,NP
225,로,JKB
226,가,VV
227,야,EC
228,할지,VX+EC
229,를,JKO
230,몰라서,VV+EC
231,너무,MAG
232,막막,XR
233,합니다,XSA+EF
234,저희,NP
235,둘,NR
236,다,MAG
237,일본,NNP
238,애니,NNP
239,를,JKO
240,너무,MAG
241,좋,VA
242,아,EC
243,하,VV
244,는데,EC
245,전주,NNG
246,에,JKB
247,오타쿠,NNP
248,들,XSN
249,이,JKS
250,갈만,NNG
251,할,XSV+ETM
252,곳,NNB
253,있,VV
254,을까요,EC
255,제발,MAG
256,알려,VV+EC
257,주,VX
258,세요,EP+EF
259,부모,NNG
260,닝,NNP
261,모시,VV
262,고,EC
263,전주,NNG
264,여행,NNG
265,부모,NNG
266,님,XSN
267,모시,VV
268,고,EC
269,전주,NNG
270,여행,NNG
271,가,VV
272,려는데,EC
273,명소,NNG
274,식당,NNG
275,추천,NNG
276,부탁,NNG
277,드립니다,VV+EC
278,전주,NNG
279,는,JX
280,한옥마을,NNP
281,로,JKB
282,유명,XR
283,한,XSA+ETM
284,완산구,NNP
285,가,JKS
286,있,VA
287,으며,EC
288,덕진구,NNP
289,또한,MAJ
290,멋진,VA+ETM
291,추억,NNG
292,을,JKO
293,가진,VV+ETM
294,장소,NNG
295,가,JKS
296,많이,MAG
297,2,SN
298,박,NNBC
299,3,SN
300,일,NNBC
301,전주,NNG
302,여행,NNG
303,이번,NNG
304,주,NNG
305,토,NNG
306,월,NNG
307,2,SN
308,박,NNBC
309,3,SN
310,일,NNBC
311,여자,NNG
312,친구,NNG
313,와,JC
314,전주,NNG
315,여행,NNG
316,을,JKO
317,가,VV
318,는데,EC
319,여행,NNG
320,경로,NNG
321,좀,MAG
322,알려,VV+EC
323,주,VX
324,세요,EP+EF
